Trend,time_stamp,post_count,avg_post_length,token_volume,growth_rate,source_file
#lust,2026-01-11T14:44:16,2,90.0,42,0,bluesky_posts_20260111_144416.jsonl
#gay,2026-01-11T14:44:16,2,90.0,42,0,bluesky_posts_20260111_144416.jsonl
#passion,2026-01-11T14:44:16,2,90.0,42,0,bluesky_posts_20260111_144416.jsonl
#nowplaying,2026-01-11T14:44:16,1,72.0,12,0,bluesky_posts_20260111_144416.jsonl
#puravida,2026-01-11T14:44:16,1,234.0,52,0,bluesky_posts_20260111_144416.jsonl
#bluesky,2026-01-11T14:44:16,1,234.0,52,0,bluesky_posts_20260111_144416.jsonl
#cumdrenched,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#sniff,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#nike,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#kink,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#smelly,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#sneakers,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#piss,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#raunchy,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#musky,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#tn,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#socks,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#kiffeur,2026-01-11T14:44:16,1,169.0,43,0,bluesky_posts_20260111_144416.jsonl
#trump,2026-01-11T14:44:16,1,293.0,60,0,bluesky_posts_20260111_144416.jsonl
#groenlandia,2026-01-11T14:44:16,1,293.0,60,0,bluesky_posts_20260111_144416.jsonl
#roofing,2026-01-11T14:44:16,1,115.0,19,0,bluesky_posts_20260111_144416.jsonl
#us,2026-01-11T14:44:16,1,115.0,19,0,bluesky_posts_20260111_144416.jsonl
#buildingmaterials,2026-01-11T14:44:16,1,115.0,19,0,bluesky_posts_20260111_144416.jsonl
#contractorpacks,2026-01-11T14:44:16,1,115.0,19,0,bluesky_posts_20260111_144416.jsonl
#redlabel,2026-01-11T14:44:16,1,115.0,19,0,bluesky_posts_20260111_144416.jsonl
